*	alice29.txt=2.785329835010767,cp.html=3.1398790864012365,asyoulik.txt=2.1760912590556813,fields.c=3.7151673578484576,grammar.lsp=2.732393759822968,lcet10.txt=3.814913181275074,plrabn12.txt=2.0,xargs.1=1.8450980400142567,8
0*	fields.c=2.681241237375587,grammar.lsp=1.0,xargs.1=1.4771212547196624,3
000*	lcet10.txt=1.0,1
00021053*	plrabn12.txt=1.0,1
000250*	fields.c=1.0,1
00081429*	plrabn12.txt=1.0,1
00482129*	plrabn12.txt=1.0,1
007*	fields.c=1.0,1
011111*	fields.c=1.0,1
02138*	lcet10.txt=1.0,1
024021*	fields.c=1.0,1
02912*	lcet10.txt=1.0,1
052637*	fields.c=1.3010299956639813,1
0610*	cp.html=1.0,1
06520*	lcet10.txt=1.0,1
075*	lcet10.txt=1.0,1
07960l9l0*	lcet10.txt=1.0,1
085*	lcet10.txt=1.0,1
08903*	lcet10.txt=1.0,1
0prtx*	xargs.1=1.0,1
0xa*	fields.c=1.6020599913279623,1
1*	fields.c=2.1760912590556813,grammar.lsp=1.0,lcet10.txt=2.7993405494535812,xargs.1=1.4771212547196624,4
10*	lcet10.txt=2.0791812460476247,1
100*	lcet10.txt=2.0,1
1000*	lcet10.txt=1.7781512503836434,1
10000*	lcet10.txt=1.7781512503836434,1
100000*	plrabn12.txt=1.0,1
10001500*	lcet10.txt=1.0,1
10003000*	lcet10.txt=1.0,1
1000copy*	lcet10.txt=1.0,1
100150*	lcet10.txt=1.0,1
100200*	lcet10.txt=1.0,1
100percent*	lcet10.txt=1.6020599913279623,1
102*	lcet10.txt=1.4771212547196624,1
1030*	lcet10.txt=1.3010299956639813,1
10301*	lcet10.txt=1.3010299956639813,1
10percent*	lcet10.txt=1.0,1
11*	fields.c=1.0,lcet10.txt=1.0,2
110*	lcet10.txt=1.0,1
1100*	lcet10.txt=1.9542425094393248,1
1101*	lcet10.txt=1.3010299956639813,1
1125*	xargs.1=1.0,1
113*	plrabn12.txt=1.0,1
115*	lcet10.txt=1.0,1
1155*	lcet10.txt=1.0,1
1192*	lcet10.txt=1.0,1
11a*	cp.html=1.0,1
11th*	cp.html=1.4771212547196624,1
12*	fields.c=1.0,1
1200*	lcet10.txt=1.0,1
